date,crop,plot,Orb,Norb,sym,pod,ento,col_20,col_10,col_6,col_4,Diplura,japy,camp,Iso,Dip<5,Dip>5,Chil<5,Chil>5,Pseu,Annelid,CL,OL,AC,OAC,Coccomorpha,Formicid,a_dipt,Psocodea,spider,Enich,Thrips,simphyla,protura,hymen,hemip,pauropoda,sipoopter,dermaptera,archaeognatha,lep
7/1/2021,corn,101,15,4,na,na,na,27,0,0,0,1,na,na,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2021,corn,104,9,24,na,na,na,46,0,0,0,0,na,na,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
7/1/2021,corn,201,0,18,na,na,na,24,3,0,10,1,na,na,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2021,corn,201,23,0,na,na,na,0,0,0,0,0,na,na,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0
7/1/2021,corn,202,12,29,na,na,na,30,46,0,12,0,na,na,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
7/1/2021,corn,204,0,4,na,na,na,1,0,0,0,0,na,na,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
7/1/2021,corn,301,2,16,na,na,na,4,1,0,1,0,na,na,0,0,1,0,1,0,1,0,1,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
7/1/2021,corn,302,10,19,na,na,na,6,10,0,11,1,na,na,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,0,0,4,0,1,0,0,0,0,0,0
7/1/2021,corn,304,10,1,na,na,na,2,0,0,2,1,na,na,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2021,corn,401,7,3,na,na,na,21,0,0,3,2,na,na,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
7/1/2021,corn,402,11,17,na,na,na,6,23,0,16,3,na,na,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,1,0,0,10,0,1,0,1,0,0,0,0
7/1/2021,corn,403,26,29,na,na,na,23,2,0,5,2,na,na,0,0,1,0,9,0,0,6,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2021,corn,404,2,18,na,na,na,22,7,0,17,1,na,na,0,0,2,0,4,0,0,4,1,0,0,0,0,0,0,0,0,0,6,0,0,1,2,0,0,0,0
7/1/2021,corn,501,11,24,na,na,na,22,11,0,0,4,na,na,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7/1/2021,corn,503,2,4,na,na,na,1,0,0,0,0,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2021,corn,504,28,16,na,na,na,46,2,0,3,1,na,na,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2021,corn,101,5,4,na,na,na,1,2,0,1,0,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2021,corn,102,47,17,na,na,na,3,4,0,5,0,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0
