date,crop,plot,moisture
9/14/2021,corn,101,24.4
9/14/2021,corn,101,26.3
9/14/2021,corn,101,24.8
9/14/2021,corn,201,28.2
9/14/2021,corn,201,26.6
9/14/2021,corn,201,26.6
9/14/2021,corn,301,24.1
9/14/2021,corn,301,24.7
9/14/2021,corn,301,20.5
9/14/2021,corn,401,22.1
9/14/2021,corn,401,26.6
9/14/2021,corn,401,24.4
9/14/2021,corn,501,22.41
9/14/2021,corn,501,22.1
9/14/2021,corn,501,23.5
9/14/2021,corn,502,24.3
9/14/2021,corn,502,27.3
9/14/2021,corn,502,24.4
9/14/2021,corn,402,28.5
9/14/2021,corn,402,28
9/14/2021,corn,402,28.5
9/14/2021,corn,302,24.9
9/14/2021,corn,302,23.8
9/14/2021,corn,302,24.4
9/14/2021,corn,202,28.9
9/14/2021,corn,202,25.6
9/14/2021,corn,202,25.4
9/14/2021,corn,102,26.2
9/14/2021,corn,102,26.5
9/14/2021,corn,102,27.5
9/14/2021,corn,103,22.8
9/14/2021,corn,103,24
9/14/2021,corn,103,24.9
9/14/2021,corn,203,23.8
9/14/2021,corn,203,24.1
9/14/2021,corn,203,22.5
9/14/2021,corn,303,24.4
9/14/2021,corn,303,22.2
9/14/2021,corn,303,22.9
9/14/2021,corn,403,26.6
9/14/2021,corn,403,23.2
9/14/2021,corn,403,22.5
9/14/2021,corn,503,20.1
9/14/2021,corn,503,26.3
9/14/2021,corn,503,23.6
9/14/2021,corn,504,22.2
9/14/2021,corn,504,21.8
9/14/2021,corn,504,23.4
9/14/2021,corn,404,27.2
9/14/2021,corn,404,21.5
9/14/2021,corn,404,26.7
9/14/2021,corn,304,23.7
9/14/2021,corn,304,27.2
9/14/2021,corn,304,26.7
9/14/2021,corn,204,26
9/14/2021,corn,204,24.2
9/14/2021,corn,204,23.7
9/14/2021,corn,104,27
9/14/2021,corn,104,26.2
9/14/2021,corn,104,23.3
Jul-21,corn,101,27
Jul-21,corn,101,24.4
Jul-21,corn,101,26.4
